Latitude (decimal degrees):	44.106
Longitude (decimal degrees):	4.701
Elevation (m):	35
Radiation database:	PVGIS-ERA5


Slope: 41 deg. (optimum)
Azimuth: 0 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20230101:0030,0.0,0.0,12.2,3.38,0.0
20230101:0130,0.0,0.0,12.53,3.66,0.0
20230101:0230,0.0,0.0,12.79,3.79,0.0
20230101:0330,0.0,0.0,12.96,3.66,0.0
20230101:0430,0.0,0.0,13.12,3.24,0.0
20230101:0530,0.0,0.0,12.96,3.03,0.0
20230101:0630,0.0,0.0,12.69,2.97,0.0
20230101:0730,7.49,1.22,11.7,2.9,0.0
20230101:0830,189.55,9.47,11.78,3.1,0.0
20230101:0930,294.39,16.15,12.92,3.52,0.0
20230101:1030,405.01,20.74,14.08,3.38,0.0
20230101:1130,517.17,22.8,15.25,4.9,0.0
20230101:1230,491.95,22.08,15.89,5.17,0.0
20230101:1330,390.52,18.68,15.94,4.69,0.0
20230101:1430,292.76,12.95,15.92,4.34,0.0
20230101:1530,117.29,5.41,15.41,3.93,0.0
20230101:1630,0.0,-3.48,14.36,3.66,0.0
20230101:1730,0.0,0.0,13.42,3.45,0.0
20230101:1830,0.0,0.0,12.6,3.17,0.0
20230101:1930,0.0,0.0,12.19,2.83,0.0
20230101:2030,0.0,0.0,11.54,2.9,0.0
20230101:2130,0.0,0.0,11.1,2.97,0.0
20230101:2230,0.0,0.0,10.81,3.03,0.0
20230101:2330,0.0,0.0,10.51,3.03,0.0
20230102:0030,0.0,0.0,10.35,3.1,0.0
20230102:0130,0.0,0.0,10.08,3.1,0.0
20230102:0230,0.0,0.0,9.93,3.03,0.0
20230102:0330,0.0,0.0,9.85,2.97,0.0
20230102:0430,0.0,0.0,9.68,2.9,0.0
20230102:0530,0.0,0.0,9.81,3.03,0.0
20230102:0630,0.0,0.0,9.81,3.1,0.0
20230102:0730,11.42,1.22,10.26,3.31,0.0
20230102:0830,202.01,9.49,10.74,3.31,0.0
20230102:0930,405.62,16.18,12.05,3.24,0.0
20230102:1030,412.23,20.8,13.71,2.48,0.0
20230102:1130,438.65,22.88,14.88,2.69,0.0
20230102:1230,315.52,22.18,15.51,3.1,0.0
20230102:1330,205.44,18.79,15.66,2.9,0.0
20230102:1430,107.71,13.08,15.44,2.34,0.0
20230102:1530,47.41,5.54,15.06,2.14,0.0
20230102:1630,0.0,-3.35,14.29,2.07,0.0
20230102:1730,0.0,0.0,13.5,1.86,0.0
20230102:1830,0.0,0.0,12.48,1.72,0.0
20230102:1930,0.0,0.0,12.02,1.03,0.0
20230102:2030,0.0,0.0,12.65,0.62,0.0
20230102:2130,0.0,0.0,12.23,0.83,0.0
20230102:2230,0.0,0.0,10.58,1.17,0.0
20230102:2330,0.0,0.0,9.67,1.45,0.0
20230103:0030,0.0,0.0,9.3,1.66,0.0
20230103:0130,0.0,0.0,9.27,1.59,0.0
20230103:0230,0.0,0.0,9.48,1.59,0.0
20230103:0330,0.0,0.0,9.54,1.66,0.0
20230103:0430,0.0,0.0,9.69,1.66,0.0
20230103:0530,0.0,0.0,9.86,1.79,0.0
20230103:0630,0.0,0.0,9.95,1.93,0.0
20230103:0730,7.04,1.23,9.91,2.14,0.0
20230103:0830,45.82,9.51,9.81,2.48,0.0
20230103:0930,135.49,16.23,10.4,2.62,0.0
20230103:1030,198.07,20.87,11.1,2.55,0.0
20230103:1130,215.17,22.97,11.78,2.69,0.0
20230103:1230,294.9,22.29,12.23,2.69,0.0
20230103:1330,485.42,18.91,12.61,2.69,0.0
20230103:1430,295.77,13.21,12.88,2.97,0.0
20230103:1530,195.66,5.67,12.46,2.9,0.0
20230103:1630,0.0,-3.21,11.46,3.03,0.0
20230103:1730,0.0,0.0,10.23,3.24,0.0
20230103:1830,0.0,0.0,9.5,3.24,0.0
20230103:1930,0.0,0.0,9.32,2.97,0.0
20230103:2030,0.0,0.0,8.61,2.97,0.0
20230103:2130,0.0,0.0,8.2,2.97,0.0
20230103:2230,0.0,0.0,7.74,2.76,0.0
20230103:2330,0.0,0.0,7.29,2.62,0.0
20230104:0030,0.0,0.0,6.96,2.48,0.0
20230104:0130,0.0,0.0,6.46,2.41,0.0
20230104:0230,0.0,0.0,6.24,2.55,0.0
20230104:0330,0.0,0.0,6.15,2.48,0.0
20230104:0430,0.0,0.0,5.81,2.34,0.0
20230104:0530,0.0,0.0,5.64,2.34,0.0
20230104:0630,0.0,0.0,5.38,2.41,0.0
20230104:0730,8.71,1.24,5.13,2.34,0.0
20230104:0830,335.81,9.54,5.12,2.0,0.0
20230104:0930,589.95,16.28,6.72,1.93,0.0
20230104:1030,722.44,20.94,8.89,2.28,0.0
20230104:1130,792.96,23.07,10.59,2.55,0.0
20230104:1230,797.14,22.41,11.93,2.9,0.0
20230104:1330,680.26,19.04,12.79,3.03,0.0
20230104:1430,458.78,13.34,13.09,3.03,0.0
20230104:1530,220.42,5.81,12.6,2.62,0.0
20230104:1630,0.0,-3.06,11.27,2.83,0.0
20230104:1730,0.0,0.0,9.9,2.97,0.0
20230104:1830,0.0,0.0,9.22,3.1,0.0
20230104:1930,0.0,0.0,9.13,2.69,0.0
20230104:2030,0.0,0.0,8.61,2.9,0.0
20230104:2130,0.0,0.0,8.27,2.97,0.0
20230104:2230,0.0,0.0,8.04,2.9,0.0
20230104:2330,0.0,0.0,8.02,2.83,0.0
20230105:0030,0.0,0.0,7.66,2.76,0.0
20230105:0130,0.0,0.0,7.41,2.83,0.0
20230105:0230,0.0,0.0,7.45,2.97,0.0
20230105:0330,0.0,0.0,7.72,3.17,0.0
20230105:0430,0.0,0.0,7.8,3.45,0.0
20230105:0530,0.0,0.0,7.97,3.66,0.0
20230105:0630,0.0,0.0,8.14,3.86,0.0
20230105:0730,8.98,1.26,9.05,4.0,0.0
20230105:0830,337.01,9.58,9.68,4.21,0.0
20230105:0930,585.75,16.33,11.37,4.69,0.0
20230105:1030,693.82,21.02,13.12,4.55,0.0
20230105:1130,775.62,23.17,14.2,5.66,0.0
20230105:1230,752.21,22.53,14.76,6.41,0.0
20230105:1330,588.7,19.18,14.85,6.76,0.0
20230105:1430,485.95,13.49,14.5,6.28,0.0
20230105:1530,241.74,5.96,13.83,6.07,0.0
20230105:1630,0.0,-2.92,12.71,5.45,0.0
20230105:1730,0.0,0.0,11.65,5.03,0.0
20230105:1830,0.0,0.0,10.96,4.69,0.0
20230105:1930,0.0,0.0,11.19,4.48,0.0
20230105:2030,0.0,0.0,10.73,4.28,0.0
20230105:2130,0.0,0.0,10.2,3.86,0.0
20230105:2230,0.0,0.0,9.65,3.38,0.0
20230105:2330,0.0,0.0,9.18,2.97,0.0
20230106:0030,0.0,0.0,8.7,2.62,0.0
20230106:0130,0.0,0.0,8.27,2.28,0.0
20230106:0230,0.0,0.0,7.71,2.0,0.0
20230106:0330,0.0,0.0,6.88,1.86,0.0
20230106:0430,0.0,0.0,6.33,1.66,0.0
20230106:0530,0.0,0.0,5.86,1.52,0.0
20230106:0630,0.0,0.0,5.78,1.45,0.0
20230106:0730,8.4,1.28,5.79,1.31,0.0
20230106:0830,237.58,9.62,5.98,1.1,0.0
20230106:0930,446.72,16.4,8.17,0.76,0.0
20230106:1030,561.95,21.11,10.45,0.76,0.0
20230106:1130,690.19,23.28,11.84,0.76,0.0
20230106:1230,718.9,22.66,12.82,0.55,0.0
20230106:1330,596.7,19.32,13.41,0.28,0.0
20230106:1430,272.13,13.64,13.73,0.0,0.0
20230106:1530,60.65,6.11,13.54,0.28,0.0
20230106:1630,0.0,-2.77,13.17,0.41,0.0
20230106:1730,0.0,0.0,12.67,0.48,0.0
20230106:1830,0.0,0.0,12.32,0.28,0.0
20230106:1930,0.0,0.0,11.1,0.55,0.0
20230106:2030,0.0,0.0,9.74,0.97,0.0
20230106:2130,0.0,0.0,8.76,1.17,0.0
20230106:2230,0.0,0.0,8.01,1.31,0.0
20230106:2330,0.0,0.0,7.49,1.38,0.0
20230107:0030,0.0,0.0,7.26,1.52,0.0
20230107:0130,0.0,0.0,7.52,1.59,0.0
20230107:0230,0.0,0.0,7.81,1.66,0.0
20230107:0330,0.0,0.0,8.02,1.66,0.0
20230107:0430,0.0,0.0,7.9,1.72,0.0
20230107:0530,0.0,0.0,8.14,1.72,0.0
20230107:0630,0.0,0.0,8.58,1.72,0.0
20230107:0730,6.86,1.31,8.24,2.07,0.0
20230107:0830,87.09,9.67,8.82,2.28,0.0
20230107:0930,287.17,16.47,10.02,2.28,0.0
20230107:1030,330.07,21.2,11.34,2.9,0.0
20230107:1130,347.02,23.4,12.32,3.45,0.0
20230107:1230,289.45,22.79,13.19,4.9,0.0
20230107:1330,200.87,19.47,13.56,4.0,0.0
20230107:1430,273.78,13.79,13.61,4.0,0.0
20230107:1530,154.42,6.27,13.39,4.14,0.0
20230107:1630,0.0,-2.61,12.6,3.72,0.0
20230107:1730,0.0,0.0,12.2,3.66,0.0
20230107:1830,0.0,0.0,12.1,3.79,0.0
20230107:1930,0.0,0.0,12.12,4.28,0.0
20230107:2030,0.0,0.0,12.04,4.14,0.0
20230107:2130,0.0,0.0,11.83,4.07,0.0
20230107:2230,0.0,0.0,11.83,4.07,0.0
20230107:2330,0.0,0.0,11.7,4.34,0.0
20230108:0030,0.0,0.0,11.73,4.55,0.0
20230108:0130,0.0,0.0,11.66,4.62,0.0
20230108:0230,0.0,0.0,11.63,4.14,0.0
20230108:0330,0.0,0.0,11.47,3.79,0.0
20230108:0430,0.0,0.0,11.43,3.79,0.0
20230108:0530,0.0,0.0,11.33,3.86,0.0
20230108:0630,0.0,0.0,11.28,3.86,0.0
20230108:0730,3.97,1.35,11.58,3.59,0.0
20230108:0830,46.06,9.72,11.52,3.59,0.0
20230108:0930,203.38,16.55,11.72,3.17,0.0
20230108:1030,248.67,21.3,12.2,3.17,0.0
20230108:1130,260.4,23.52,12.63,3.72,0.0
20230108:1230,214.7,22.94,12.99,3.59,0.0
20230108:1330,146.63,19.62,12.92,2.97,0.0
20230108:1430,82.44,13.95,12.83,3.24,0.0
20230108:1530,58.79,6.43,12.43,2.9,0.0
20230108:1630,0.0,-2.45,11.8,2.62,0.0
20230108:1730,0.0,0.0,11.43,1.86,0.0
20230108:1830,0.0,0.0,10.98,1.1,0.0
20230108:1930,0.0,0.0,10.32,1.31,0.0
20230108:2030,0.0,0.0,10.43,1.59,0.0
20230108:2130,0.0,0.0,9.78,1.79,0.0
20230108:2230,0.0,0.0,9.37,2.0,0.0
20230108:2330,0.0,0.0,9.05,2.07,0.0
20230109:0030,0.0,0.0,8.78,1.86,0.0
20230109:0130,0.0,0.0,8.54,1.52,0.0
20230109:0230,0.0,0.0,8.6,1.38,0.0
20230109:0330,0.0,0.0,8.42,1.52,0.0
20230109:0430,0.0,0.0,7.78,2.0,0.0
20230109:0530,0.0,0.0,6.93,2.0,0.0
20230109:0630,0.0,0.0,6.04,1.86,0.0
20230109:0730,9.3,1.39,4.82,1.72,0.0
20230109:0830,329.07,9.79,4.77,1.38,0.0
20230109:0930,567.17,16.63,6.53,0.97,0.0
20230109:1030,660.43,21.41,8.21,1.17,0.0
20230109:1130,780.67,23.65,9.62,1.38,0.0
20230109:1230,668.91,23.09,10.91,2.34,0.0
20230109:1330,626.88,19.78,11.33,2.62,0.0
20230109:1430,417.62,14.12,10.97,3.79,0.0
20230109:1530,224.09,6.6,10.2,4.0,0.0
20230109:1630,0.0,-2.28,9.26,3.72,0.0
20230109:1730,0.0,0.0,8.29,3.38,0.0
20230109:1830,0.0,0.0,7.35,2.9,0.0
20230109:1930,0.0,0.0,7.36,3.17,0.0
20230109:2030,0.0,0.0,6.59,2.34,0.0
20230109:2130,0.0,0.0,5.52,1.86,0.0
20230109:2230,0.0,0.0,4.66,2.07,0.0
20230109:2330,0.0,0.0,4.61,2.55,0.0
20230110:0030,0.0,0.0,4.84,2.97,0.0
20230110:0130,0.0,0.0,4.95,3.1,0.0
20230110:0230,0.0,0.0,4.8,3.17,0.0
20230110:0330,0.0,0.0,4.71,3.24,0.0
20230110:0430,0.0,0.0,4.67,3.31,0.0
20230110:0530,0.0,0.0,4.52,3.17,0.0
20230110:0630,0.0,0.0,4.26,2.97,0.0
20230110:0730,9.07,1.45,4.69,3.52,0.0
20230110:0830,364.07,9.86,5.04,3.86,0.0
20230110:0930,598.36,16.72,6.31,3.72,0.0
20230110:1030,758.92,21.53,7.64,4.9,0.0
20230110:1130,825.32,23.79,8.64,5.1,0.0
20230110:1230,806.71,23.24,9.38,4.76,0.0
20230110:1330,694.32,19.95,9.89,4.21,0.0
20230110:1430,506.64,14.29,10.14,3.72,0.0
20230110:1530,256.27,6.77,9.8,2.83,0.0
20230110:1630,0.0,-2.11,8.81,2.55,0.0
20230110:1730,0.0,0.0,7.67,2.48,0.0
20230110:1830,0.0,0.0,7.01,2.28,0.0
20230110:1930,0.0,0.0,6.38,2.0,0.0
20230110:2030,0.0,0.0,5.43,1.86,0.0
20230110:2130,0.0,0.0,4.35,1.72,0.0
20230110:2230,0.0,0.0,3.86,1.59,0.0
20230110:2330,0.0,0.0,3.67,1.52,0.0
20230111:0030,0.0,0.0,3.29,1.59,0.0
20230111:0130,0.0,0.0,2.84,1.66,0.0
20230111:0230,0.0,0.0,2.55,1.66,0.0
20230111:0330,0.0,0.0,2.84,1.38,0.0
20230111:0430,0.0,0.0,3.04,1.1,0.0
20230111:0530,0.0,0.0,2.95,1.1,0.0
20230111:0630,0.0,0.0,2.66,1.24,0.0
20230111:0730,11.2,1.5,2.06,1.38,0.0
20230111:0830,298.15,9.93,2.27,1.45,0.0
20230111:0930,503.61,16.82,5.54,0.9,0.0
20230111:1030,685.01,21.65,8.98,1.24,0.0
20230111:1130,740.54,23.94,11.01,1.66,0.0
20230111:1230,699.97,23.41,12.38,1.45,0.0
20230111:1330,470.11,20.13,13.36,1.31,0.0
20230111:1430,221.62,14.47,13.5,1.72,0.0
20230111:1530,94.17,6.94,12.81,2.14,0.0
20230111:1630,0.0,-1.94,11.8,2.76,0.0
20230111:1730,0.0,0.0,10.81,3.24,0.0
20230111:1830,0.0,0.0,10.39,3.79,0.0
20230111:1930,0.0,0.0,9.19,3.93,0.0
20230111:2030,0.0,0.0,8.53,3.86,0.0
20230111:2130,0.0,0.0,7.98,3.66,0.0
20230111:2230,0.0,0.0,7.44,3.66,0.0
20230111:2330,0.0,0.0,7.07,3.66,0.0
20230112:0030,0.0,0.0,6.64,3.52,0.0
20230112:0130,0.0,0.0,6.36,3.31,0.0
20230112:0230,0.0,0.0,6.01,3.1,0.0
20230112:0330,0.0,0.0,5.77,2.76,0.0
20230112:0430,0.0,0.0,5.28,2.69,0.0
20230112:0530,0.0,0.0,4.99,2.69,0.0
20230112:0630,0.0,0.0,4.81,2.62,0.0
20230112:0730,9.75,1.57,5.0,2.69,0.0
20230112:0830,276.37,10.02,5.47,2.76,0.0
20230112:0930,431.85,16.93,7.26,2.48,0.0
20230112:1030,626.92,21.78,9.39,2.69,0.0
20230112:1130,526.08,24.09,11.07,3.1,0.0
20230112:1230,436.81,23.58,11.93,3.24,0.0
20230112:1330,321.16,20.31,12.3,3.17,0.0
20230112:1430,208.54,14.65,12.27,2.62,0.0
20230112:1530,80.8,7.13,11.76,2.0,0.0
20230112:1630,0.0,-1.76,10.71,2.0,0.0
20230112:1730,0.0,0.0,9.26,1.93,0.0
20230112:1830,0.0,0.0,7.71,1.59,0.0
20230112:1930,0.0,0.0,9.21,0.9,0.0
20230112:2030,0.0,0.0,9.18,0.76,0.0
20230112:2130,0.0,0.0,9.15,0.55,0.0
20230112:2230,0.0,0.0,8.82,0.62,0.0
20230112:2330,0.0,0.0,8.49,0.21,0.0
20230113:0030,0.0,0.0,8.2,0.21,0.0
20230113:0130,0.0,0.0,7.93,0.41,0.0
20230113:0230,0.0,0.0,7.44,0.41,0.0
20230113:0330,0.0,0.0,7.09,0.34,0.0
20230113:0430,0.0,0.0,6.95,0.28,0.0
20230113:0530,0.0,0.0,6.96,0.55,0.0
20230113:0630,0.0,0.0,7.06,0.55,0.0
20230113:0730,7.22,1.64,6.41,0.83,0.0
20230113:0830,54.77,10.11,6.54,0.69,0.0
20230113:0930,233.75,17.04,7.0,0.55,0.0
20230113:1030,571.65,21.92,8.83,0.55,0.0
20230113:1130,790.63,24.25,10.71,1.03,0.0
20230113:1230,693.65,23.76,12.11,1.86,0.0
20230113:1330,609.26,20.49,12.85,2.69,0.0
20230113:1430,341.86,14.84,13.15,2.69,0.0
20230113:1530,157.49,7.31,12.82,2.21,0.0
20230113:1630,0.0,-1.58,11.76,2.21,0.0
20230113:1730,0.0,0.0,10.02,2.48,0.0
20230113:1830,0.0,0.0,8.91,2.48,0.0
20230113:1930,0.0,0.0,8.84,2.28,0.0
20230113:2030,0.0,0.0,7.92,2.41,0.0
20230113:2130,0.0,0.0,7.15,2.62,0.0
20230113:2230,0.0,0.0,6.68,2.69,0.0
20230113:2330,0.0,0.0,6.27,2.83,0.0
20230114:0030,0.0,0.0,6.04,2.97,0.0
20230114:0130,0.0,0.0,5.75,3.03,0.0
20230114:0230,0.0,0.0,5.43,2.83,0.0
20230114:0330,0.0,0.0,4.96,2.62,0.0
20230114:0430,0.0,0.0,4.34,2.34,0.0
20230114:0530,0.0,0.0,3.27,1.79,0.0
20230114:0630,0.0,0.0,3.06,1.24,0.0
20230114:0730,14.45,1.71,4.12,0.69,0.0
20230114:0830,159.95,10.2,4.06,0.62,0.0
20230114:0930,345.0,17.16,5.54,0.41,0.0
20230114:1030,477.15,22.07,8.19,0.76,0.0
20230114:1130,495.49,24.42,10.08,1.24,0.0
20230114:1230,654.3,23.94,11.22,1.45,0.0
20230114:1330,419.82,20.68,12.07,1.52,0.0
20230114:1430,195.23,15.03,12.29,1.24,0.0
20230114:1530,120.63,7.5,11.97,0.62,0.0
20230114:1630,0.0,-1.4,10.92,0.76,0.0
20230114:1730,0.0,0.0,10.51,0.69,0.0
20230114:1830,0.0,0.0,9.88,0.28,0.0
20230114:1930,0.0,0.0,9.14,0.55,0.0
20230114:2030,0.0,0.0,8.72,0.34,0.0
20230114:2130,0.0,0.0,8.43,0.9,0.0
20230114:2230,0.0,0.0,8.16,0.83,0.0
20230114:2330,0.0,0.0,6.68,1.17,0.0
